id,class
10001,3
10002,6
10004,9
10008,18
10009,4
10010,20
10011,9
10015,4
10023,5
10027,3
10032,18
10034,5
10035,15
10040,20
10041,17
10043,6
10044,19
10045,9
10048,7
10051,18
10057,17
10060,18
10061,12
10063,4
10068,16
10069,18
10073,14
10080,2
10083,18
10084,3
10089,18
10093,6
10095,10
10097,9
10099,4
10102,3
10104,6
10105,14
10107,3
10115,1
10116,5
10118,4
10123,3
10126,13
10127,19
10129,3
10130,8
10131,20
10134,4
10136,20
10137,17
10139,13
10141,4
10147,2
10148,13
10149,12
10151,11
10152,18
10156,11
10157,17
10158,15
10160,7
10162,17
10167,13
10171,9
10175,13
10177,14
10180,8
10182,2
10184,2
10190,14
10194,8
10195,11
10197,5
10198,12
10202,11
10203,5
10204,11
10209,16
10210,9
10223,17
10226,5
10232,17
10235,11
10236,11
10237,12
10241,19
10242,12
10244,20
10246,17
10247,17
10248,16
10250,11
10251,9
10256,11
10259,1
10260,4
10261,9
10263,19
10264,8
10265,5
10267,18
10269,17
10273,11
10276,14
10285,17
10287,13
10291,17
10296,10
10300,3
10301,17
10304,9
10305,2
10309,11
10310,1
10320,20
10322,12
10323,3
10324,11
10325,4
10329,9
10336,14
10337,20
10338,2
10341,9
10351,20
10352,8
10354,16
10357,17
10358,17
10359,8
10361,19
10364,12
10366,14
10369,2
10370,7
10374,2
10375,9
10377,11
10381,18
10382,8
10384,2
10389,10
10390,17
10392,9
10394,12
10402,2
10404,4
10406,17
10409,4
10410,6
10412,20
10414,18
10417,10
10418,14
10420,20
10423,10
10426,9
10427,4
10434,20
10435,18
10441,18
10452,12
10453,3
10461,13
10462,1
10466,17
10467,4
10468,3
10472,10
10476,17
10480,18
10484,12
10485,2
10488,12
10489,1
10493,4
10494,6
10497,20
10498,20
10500,1
10507,13
10511,9
10519,19
10521,14
10524,15
10526,1
10530,17
10535,10
10536,17
10538,16
10539,15
10552,20
10554,14
10556,18
10558,18
10560,13
10564,9
10566,14
10569,17
10570,17
10571,17
10575,20
10577,10
10583,20
10584,14
10585,4
10589,14
10592,20
10594,17
10595,17
10596,18
10601,9
10606,17
10607,18
10613,20
10615,20
10618,9
10621,9
10626,18
10628,15
10629,18
10633,20
10634,13
10638,5
10642,14
10643,17
10644,5
10646,17
10647,6
10653,17
10655,9
10656,18
10657,9
10666,6
10668,16
10669,18
